Schedule,Model,Training rows,Test rows,Test start,Test end,Accuracy,ROC AUC
1,Majority baseline,71,23,2024-06-17,2024-11-21,0.5217391304347826,0.5
1,Momentum only,71,23,2024-06-17,2024-11-21,0.5217391304347826,0.5
1,Tone only,71,23,2024-06-17,2024-11-21,0.4782608695652174,0.7196969696969697
1,Momentum + tone,71,23,2024-06-17,2024-11-21,0.4782608695652174,0.6287878787878788
2,Majority baseline,71,23,2024-06-18,2024-11-22,0.391304347826087,0.5
2,Momentum only,71,23,2024-06-18,2024-11-22,0.5652173913043478,0.5079365079365079
2,Tone only,71,23,2024-06-18,2024-11-22,0.391304347826087,0.7857142857142857
2,Momentum + tone,71,23,2024-06-18,2024-11-22,0.4782608695652174,0.5952380952380952
3,Majority baseline,70,23,2024-06-12,2024-11-18,0.5217391304347826,0.5
3,Momentum only,70,23,2024-06-12,2024-11-18,0.5217391304347826,0.4848484848484848
3,Tone only,70,23,2024-06-12,2024-11-18,0.5652173913043478,0.2348484848484848
3,Momentum + tone,70,23,2024-06-12,2024-11-18,0.5652173913043478,0.2196969696969696
4,Majority baseline,70,23,2024-06-13,2024-11-19,0.4782608695652174,0.5
4,Momentum only,70,23,2024-06-13,2024-11-19,0.4782608695652174,0.5
4,Tone only,70,23,2024-06-13,2024-11-19,0.6521739130434783,0.6515151515151515
4,Momentum + tone,70,23,2024-06-13,2024-11-19,0.6086956521739131,0.5833333333333334
5,Majority baseline,70,23,2024-06-14,2024-11-20,0.5652173913043478,0.5
5,Momentum only,70,23,2024-06-14,2024-11-20,0.5217391304347826,0.5076923076923077
5,Tone only,70,23,2024-06-14,2024-11-20,0.5652173913043478,0.5692307692307692
5,Momentum + tone,70,23,2024-06-14,2024-11-20,0.5217391304347826,0.5461538461538462
