Period,Model,Training rows,Test rows,Accuracy,ROC AUC
2023 Q3,Majority baseline,114,63,0.5238095238095238,0.5
2023 Q3,Momentum only,114,63,0.5238095238095238,0.7636363636363637
2023 Q3,Tone only,114,63,0.5238095238095238,0.6505050505050505
2023 Q3,Momentum + tone,114,63,0.5238095238095238,0.7676767676767676
2023 Q4,Majority baseline,177,63,0.4285714285714285,0.5
2023 Q4,Momentum only,177,63,0.365079365079365,0.4506172839506173
2023 Q4,Tone only,177,63,0.4285714285714285,0.5576131687242798
2023 Q4,Momentum + tone,177,63,0.4444444444444444,0.4835390946502058
2024 Q1,Majority baseline,240,61,0.2295081967213114,0.5
2024 Q1,Momentum only,240,61,0.2786885245901639,0.5516717325227964
2024 Q1,Tone only,240,61,0.2295081967213114,0.6762917933130699
2024 Q1,Momentum + tone,240,61,0.2622950819672131,0.6337386018237082
2024 Q2,Majority baseline,301,63,0.6984126984126984,0.5
2024 Q2,Momentum only,301,63,0.6190476190476191,0.6830143540669857
2024 Q2,Tone only,301,63,0.5555555555555556,0.6064593301435407
2024 Q2,Momentum + tone,301,63,0.6031746031746031,0.667464114832536
2024 Q3,Majority baseline,364,64,0.421875,0.5
2024 Q3,Momentum only,364,64,0.40625,0.5055055055055054
2024 Q3,Tone only,364,64,0.515625,0.8008008008008007
2024 Q3,Momentum + tone,364,64,0.4375,0.5385385385385386
2024 Q4 through Nov 22,Majority baseline,428,39,0.5641025641025641,0.5
2024 Q4 through Nov 22,Momentum only,428,39,0.5128205128205128,0.267379679144385
2024 Q4 through Nov 22,Tone only,428,39,0.4871794871794871,0.4679144385026738
2024 Q4 through Nov 22,Momentum + tone,428,39,0.5128205128205128,0.4304812834224598
